2086|Roldan Y Cia Ltda. Bogota Cra 100|Aduanas de Bogotá|DEP PUBL|CARRERA 100 No.25-b46|1988-09-15|2017-08-02
2087|Almincarga S.A.- Bogota|Aduanas de Bogotá|DEP PUBL|CALLE 25 D No. 97-57|2008-06-27|2013-06-27
2088|Green Cargo De Colombia Sa.Bta Cra 62.|Aduanas de Bogotá|DEP PUBL|AV 22, CALLE 22 AV. CENTENARIO No.84-65|2008-03-19|2013-03-19
2089|Alcomex S.A. - Bogota - Cra.103|Aduanas de Bogotá|DEP PUBL|CARRERA.103 BIS No. 44-28 FONTIBON|2008-08-26|2013-05-02
2090|Dapsa S.A. Bogota. Diagonal 43|Aduanas de Bogotá|DEP PUBL|DIAGONAL 43 No.96-65|2007-11-19|2012-11-19
2091|Depositos Aduaneros Dapsa S.A|Aduanas de Bogotá|DEP PUBL|CALLE 18 No.69B-57/65|2008-11-08|2013-11-08
2092|Snider & Cia S.A. Bogota Avda Eldorado|Aduanas de Bogotá|DEP PUBL|AVENIDA ELDORADO No. 96-47|2007-03-28|2012-11-30
2094|Cimpex En Ejec.De Acue. Ree. Ltda. Bta.|Aduanas de Bogotá|DEP PUBL|CARRERA 100 No.47-55|2006-02-22|2015-03-26
2095|INVERSIONES ALASKA S.A|Aduanas de Bogotá|DEP FRANCO|Local No. 30 y Bodega No. 6 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2096|ALMACEN ORIENT LTDA|Aduanas de Bogotá|DEP FRANCO|Local No. 35 y Bodega No. 4 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2097|IN BOND DAVID S  S.A(Local 2248)|Aduanas de Bogotá|DEP FRANCO|Local 2248 Muelle Intern. Aeropuerto El Dorado|2008-04-29|2013-04-29
2098|LA RIVIERA DUTY FREE LTDA|Aduanas de Bogotá|DEP FRANCO|Locales Nos. 33 y 34 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2099|IMPORTACIONES EL DORADO S A (Local No. 12 y Bodega No. 12A)|Aduanas de Bogotá|DEP FRANCO|Local No. 12 y Bodega No. 12A Muelle Intern. Aeropuerto El Dorado|2008-04-29|2013-04-29
2100|IN BOND GEMA S.A.(Local No.7 y Bodega No.9)|Aduanas de Bogotá|DEP FRANCO|Local No. 7 y Bodega No. 9 Muelle Intern. Aeropuerto El Dorado|2006-02-20|2016-02-04
2101|FOTO INTERNACIONAL DE COLOMBIA LIMITADA|Aduanas de Bogotá|DEP FRANCO|Local No. 1 y Bodega No. 2 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2102|EL FORUM LTDA|Aduanas de Bogotá|DEP FRANCO|Local No. 26 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2104|JOYARTE S.A.|Aduanas de Bogotá|DEP FRANCO|Local No. 6 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2105|GRANT STORE INTERNACIONAL LTDA|Aduanas de Bogotá|DEP FRANCO|LOCAL No. 25 y BODEGA No. 7 MUELLE INTER. AEROPUERTO EL DORADO|1991-11-19|9999-12-31
2106|EXPORTACIONES EL DORADO LTDA EXPORDORADO LTDA.|Aduanas de Bogotá|DEP FRANCO|Local No. 32 y Bodega No. 10 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2107|AEROLIBRE LTDA|Aduanas de Bogotá|DEP FRANCO|Local No. 17 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2108|EL VIAJERO INTERNACIONAL LIMITADA (Local 2242)|Aduanas de Bogotá|DEP FRANCO|AEROPUERTO INTERNAL EL DORADO LOCAL No.29(2242)|2006-01-18|2015-10-29
2109|COMERCIALIZADORA BACATA LTDA|Aduanas de Bogotá|DEP FRANCO|Local No. 4 y Bodega No. 14 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2110|SMARAGDUS LIMITADA|Aduanas de Bogotá|DEP FRANCO|Local No. 2271 Muelle Intern. Aeropuerto El Dorado|1988-09-15|9999-12-31
2111|PROMOTORA DE CAFE COLOMBIA SA|Aduanas de Bogotá|DEP FRANCO|MUELLE INTERNACIONAL AEROPUERTO EL DORADO L. 2277|1991-11-19|9999-12-31
2112|STERLING DE COLOMBIA S.A.|Aduanas de Bogotá|DEP FRANCO|Local No. 18 y Bodega No. 5 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2113|LA MAJA LIMITADA|Aduanas de Bogotá|DEP FRANCO|Local No. 15 y Bodega No. 13 Muelle Intern. Aeropuerto El Dorado|1991-11-19|9999-12-31
2114|DHL EXPRESS COLOMBIA LTDA|Aduanas de Bogotá|TRAFICO POSTAL|KR 85 D No. 46 A- 38|1991-11-19|9999-12-31
2115|THOMAS GREG EXPRESS S.A|Aduanas de Bogotá|TRAFICO POSTAL|CALLE 50 No.79-54 INT 10.|1991-11-19|9999-12-31
2118|PAQUETES Y CARGA EXPRESS LIMITADA|Aduanas de Bogotá|TRAFICO POSTAL|Carrera 81 C No. 24D-73, |1991-11-19|9999-12-31
2119|S. U. EXPRESS INTERNACIONAL LTDA|Aduanas de Bogotá|TRAFICO POSTAL|AVENIDA ELDORADO No.84A-55 LE12A.|1991-11-19|9999-12-31
